PERSON	Upaka	4
PERSON	Vepacitta	4
PERSON	Verahaccaani	4
PERSON	Bhagu	3
PERSON	Candana	3
PERSON	Dhanapalaka	3
PERSON	Hemaka	3
PERSON	Kaligodha	3
PERSON	Kinnughandu	3
PERSON	Kumbhira	3
PERSON	Mahali	3
! LOC	Makuta-bandhana	3
PERSON	Master Vacchayana	3
?? more often GPE PERSON	Nalaka	3
PERSON	Nalijangha	3
PERSON	Sigala	3
PERSON	Siha	3
PERSON	Sikhi	3
PERSON	Sutavan	3
PERSON	Talaputa	3
PERSON	Tatha	3
PERSON	Todeyya's son	3
PERSON	Universal Seer	3 -- Epithet for Brahma
PERSON	Vamadeva	3
PERSON	Vamaka	3
PERSON	Varunas	3 --???
PERSON	Velukandaki	3

PERSON	Vesālī	3 --???

PERSON	Videhi queen	3
PERSON	Yamataggi	3
PERSON	Accuta	2
PERSON	Aciravatī	2
PERSON	Aggikabharadvaja	2
PERSON	Ajakalāpaka	2
PERSON	Amaravati	2
PERSON	Ariya	2
PERSON	Asama	2
PERSON	Atanata	2
PERSON	Añña-Kondañña	2
PERSON	Bali	2
PERSON	Bhaaradvaaja Brahman	2
PERSON	Bhadravudha	2
PERSON	Buddharakkhita	2
PERSON	Citra	2
PERSON	Cittasena	2
PERSON	Dandapani	2
PERSON	Dhammika	2
PERSON	Elder Kondañña	2
PERSON	Eraka	2
PERSON	Gandhabhaka	2
PERSON	Ghata	2
PERSON	Hatthaka	2
PERSON	Jata Bharadvaja	2
PERSON	Jatukannin	2
PERSON	Kakudha	2
PERSON	Kamasettha	2
PERSON	Kandarayana	2
PERSON	Kappayana	2
PERSON	Katissabha	2
PERSON	Kimila	2
PERSON	Koravya	2
PERSON	Kutendu	2
PERSON	Macchikasanda	2
PERSON	Mantani	2
PERSON	Maya	2
PERSON	Mundika	2
PERSON	Nighandu	2
PERSON	Nikata	2
PERSON	Opamanna	2
PERSON	Paccekabuddha	2
PERSON	Paharada	2
PERSON	Panada	2
PERSON	Pandava	2
PERSON	Parileyyaka	2
PERSON	Paritta	2
PERSON	Pataliputta	2
PERSON	Pilotika	2
PERSON	Posala	2
PERSON	Private Buddhas	2
PERSON	Punna Mantaniputta	2
PERSON	Pāṭaliputta	2
PERSON	Ramagama	2
PERSON	Sadamatta	2
PERSON	Sahali	2
PERSON	Salavatika	2
PERSON	Salha	2
PERSON	Sandha	2
PERSON	Santuttha	2
PERSON	Sarabhū	2
PERSON	Sopaka	2
PERSON	Sucitti	2
PERSON	Sujata	2
PERSON	Sumana	2
PERSON	Sundara	2
PERSON	Superb	2
PERSON	Supremely Enlightened One	2
PERSON	Sutava	2
PERSON	Sāmaṇḍakāni	2
PERSON	Sāmāvatī	2
PERSON	Tagarasikhin	2
PERSON	Tavatimsa	2
PERSON	Tranquil Sage	2
PERSON	Tusita	2
PERSON	Tuttha	2
PERSON	Uparittha	2
PERSON	Upatissa	2
PERSON	Vasavatti Mara	2
PERSON	Veroca	2
PERSON	Vettha	2
PERSON	Ābhassara	2
PERSON	Abhaya	1
PERSON	Accutagamabyamaka	1
PERSON	Accutas	1
PERSON	Acela-Kassapa	1
PERSON	Adhikakka	1
PERSON	Anasava	1
PERSON	Anojaka	1
PERSON	Anotatta	1
PERSON	Aparajita	1
PERSON	Araka	1
PERSON	Aritthaka	1
PERSON	Arittho	1
PERSON	Ariya Magga	1
PERSON	Aruna	1
PERSON	Asava	1
PERSON	Asavas	1
PERSON	Asayha	1
PERSON	Asurendra	1
PERSON	Atanatiya	1
PERSON	Atula	1
PERSON	Bahuna	1
PERSON	Bhavitatta	1
PERSON	Brahma Sanankumara	1
PERSON	Brahmaa	1
PERSON	Brahmajala	1
PERSON	Brahmas Sanankumara	1
PERSON	Brahmas Subrahma	1
PERSON	Consumate One	1
PERSON	Dabba	1
PERSON	Dabbila	1
PERSON	Danaveghasas	1
PERSON	Datharatta	1
PERSON	Devasata	1
PERSON	Dhanañjaani	1
PERSON	Dharani	1
PERSON	Dhavajalika	1
PERSON	Divinities	1
PERSON	Eravana	1
PERSON	Eravanna	1
PERSON	Gagga	1
PERSON	Giribbaja	1
PERSON	Gopala	1
PERSON	Great Samanas	1
PERSON	Gutta	1
PERSON	Haliddakani	1
PERSON	Harita	1
PERSON	Harita Brahma	1
PERSON	Haritta	1
PERSON	Hemavata	1
PERSON	Hiri	1
PERSON	Jalini	1
PERSON	Jambukhadika	1
PERSON	Janogha	1
PERSON	Jantu	1
PERSON	Jata	1
PERSON	Jatila Bhagika	1
PERSON	Jayanta	1
PERSON	Jita	1
PERSON	Joti	1
PERSON	Jotinamas	1
PERSON	Kala	1
PERSON	Kanha	1
PERSON	Kankharevata	1
PERSON	Kapilani	1
PERSON	Karatiya	1
PERSON	Karumha	1
PERSON	Katthaka	1
PERSON	Ketumbaraga	1
PERSON	Khemabhirata	1
PERSON	Khemiya	1
PERSON	Khemiyas	1
PERSON	Khiddapadusika	1
PERSON	Kisa Sankicca	1
PERSON	Kitagiri	1
PERSON	Kokanuda	1
PERSON	Koliyas	1
PERSON	Konagama	1
PERSON	Konagamana	1
PERSON	Kosiya	1
PERSON	Kusavati	1
PERSON	Kusinata	1
PERSON	Lamasettha	1
PERSON	Lambhitaka	1
PERSON	Lohita	1
PERSON	Lomahamsa	1
PERSON	Macchikāsanda	1
PERSON	Maha-paraga	1
PERSON	Mahabrahma	1
PERSON	Mahasamana	1
PERSON	Majjha	1
PERSON	Manatthaddha	1
PERSON	Mandiya	1
PERSON	Mangala	1
PERSON	Maniculaka	1
PERSON	Manika	1
PERSON	Manomaya	1
PERSON	Mantaniputta	1
PERSON	Manusa	1
PERSON	Manusuttama	1
PERSON	Master Gagga Mantaniputta	1
PERSON	Master Licchavis	1
PERSON	Matika	1
PERSON	Migajala	1
PERSON	Missaka	1
PERSON	Murky One	1
PERSON	Musila	1
PERSON	Nandana	1
PERSON	Natapuriya	1
PERSON	Navakammika	1
PERSON	Navakammika Bharadvaja	1
PERSON	Netti	1
PERSON	Nigahandu	1
PERSON	Nitha	1
PERSON	Odatagayha	1
PERSON	Ojasi	1
PERSON	Pabbata	1
PERSON	Pacetana	1
PERSON	Paduma	1
PERSON	Padumuttara	1
PERSON	Pajjunna	1
PERSON	Pajunna	1
PERSON	Pakudha Kaccana	1
PERSON	Palileyyaka	1
PERSON	Pamokkha	1
PERSON	Panga	1
PERSON	Paraga	1
PERSON	Parakusinata	1
PERSON	Parakusitanata	1
PERSON	Paramatta	1
PERSON	Paranimmita Vasavatti	1
PERSON	Paranimmitas	1
PERSON	Pasura	1
PERSON	Pathavi	1
PERSON	Pavatta	1
PERSON	Pekhuniya	1
PERSON	Pilindavaccha	1
PERSON	Pokkharasataka	1
PERSON	Powerful One	1
PERSON	Pāvā	1
PERSON	Rajaka Park	1
PERSON	Rakkhita	1
PERSON	Revata	1
PERSON	Rohana	1
PERSON	Roja	1
PERSON	Rucira	1
PERSON	Ruciras	1
PERSON	Saavatthii	1
PERSON	Saavatthii Kassapa	1
PERSON	Sacca	1
PERSON	Saccanama	1
PERSON	Sahabhu	1
PERSON	Sahadhammas	1
PERSON	Sakkara	1
PERSON	Samana	1
PERSON	Sanankumara	1
PERSON	Santacitta	1
PERSON	Santusita	1
PERSON	Sarabhanga	1
PERSON	Satagira	1
PERSON	Sattha	1
PERSON	Serisakka	1
PERSON	Setabya	1
PERSON	Sobhita	1
PERSON	Sorata	1
PERSON	Spiritually Ennobled One	1
PERSON	Strewn	1
PERSON	Subahu	1
PERSON	Subrahma	1
PERSON	Sudatta	1
PERSON	Suddhodana	1
PERSON	Sujātā	1
PERSON	Sukha	1
PERSON	Suleyya	1
PERSON	Suleyyas	1
PERSON	Sumangala's Mother	1
PERSON	Sumukha	1
PERSON	Sunimmita	1
PERSON	Supannas	1
PERSON	Suppagedha	1
PERSON	Suppanas	1
PERSON	Suppatitthita	1
PERSON	Sura	1
PERSON	Tadadhimutta	1
PERSON	Tatojasi	1
PERSON	Tatola	1
PERSON	Tatotala	1
PERSON	Tattala	1
PERSON	Tejo	1
PERSON	Todeyya 's son	1
PERSON	Ubbiri	1
PERSON	Uccangamaya	1
PERSON	Uccaya	1
PERSON	Ummapupphanibha	1
PERSON	Unnabha	1
PERSON	Upakala	1
PERSON	Upali	1
PERSON	Upananda	1
PERSON	Upanita	1
PERSON	Upasabha	1
PERSON	Uppala	1
PERSON	Upāli	1
PERSON	Usabha	1
PERSON	Vaisravana	1
PERSON	Vajira the nun	1
PERSON	Vajirahattha	1
PERSON	Vasavanesi	1
PERSON	Vasavassa	1
PERSON	Vasus	1
PERSON	Vataraga	1
PERSON	Veghanas	1
PERSON	Veghanasa	1
PERSON	Veluvana	1
PERSON	Vendu	1
PERSON	Venhu	1
PERSON	Verambha	1
PERSON	Vetendu	1
PERSON	Vetha	1
PERSON	Vicakkhana	1
PERSON	Vicakkhanas	1
PERSON	Vicaya-sambojjhaṅga	1
PERSON	Vijita	1
PERSON	Vimala	1
PERSON	Vipassi	1
PERSON	Viraja	1
PERSON	Visna	1
PERSON	Vitu	1
PERSON	Vitucca	1
PERSON	Vituda	1
PERSON	Vituta	1
PERSON	Yasassi	1
PERSON	Yugandhara	1